시군구,읍면동,2월,3월,4월,5월,6월,7월
강남구,개포1동,8554.585852,8972.150643,9095.591132,9031.146971,9125.238274,8830.015919
강남구,개포2동,24292.94583,25669.84966,25344.27283,25812.03973,26230.5717,24976.29904
강남구,개포4동,16145.92541,16591.96863,16298.13176,16250.38442,16519.12662,16024.17156
강남구,논현1동,41685.73278,42175.70615,43407.00721,44160.83305,44747.34139,44018.73887
강남구,논현2동,40784.05969,42880.73947,44453.26756,45155.08498,45628.35782,44600.2199
강남구,대치1동,28436.87551,28504.69742,27906.70436,28201.47309,28849.59168,28353.99753
강남구,대치2동,48512.09897,48025.96931,48876.57282,50415.12799,50686.55278,50252.71284
강남구,대치4동,38335.23845,37861.67916,38238.35252,39131.2543,40165.00253,41336.2639
강남구,도곡1동,35062.2967,34985.56498,34938.61146,35483.83074,36274.37144,35751.99041
강남구,도곡2동,29840.27193,30505.82181,30052.71959,29490.11267,30896.28006,29858.78931
강남구,삼성1동,36206.92909,35864.49815,38409.68058,41186.76838,42394.84511,43898.48954
강남구,삼성2동,39375.70017,39653.99008,40262.78091,40432.12636,41029.25153,40380.45195
강남구,세곡동,46432.78884,46156.52644,45438.93063,45416.08287,46122.51747,44885.76464
강남구,수서동,22668.67469,23143.05399,23610.52418,24184.87269,24670.34219,23720.47781
강남구,신사동,33676.89062,34604.94922,36725.32218,38103.16182,38726.74508,37805.30507
강남구,압구정동,40249.30371,40921.30749,42775.61305,43382.26807,44223.06653,44405.12968
강남구,역삼1동,96808.58898,98723.51605,102627.8803,106827.2986,109163.4775,109276.5163
강남구,역삼2동,51133.30534,51986.29447,52476.93259,53509.8387,55171.62443,54675.52916
강남구,일원1동,16882.86004,16653.85628,16136.78214,16106.23023,16181.81259,15710.46958
강남구,일원2동,16799.97933,16912.07614,16553.9023,16587.43632,16837.03933,16431.52138
강남구,일원본동,25078.44265,25197.26164,25264.899,25219.58134,25583.99113,24822.39874
강남구,청담동,41672.84927,41426.60845,43190.72454,44046.54078,44645.8845,43384.48596
강동구,강일동,52475.64657,49518.086,49470.08313,50934.33024,52189.56702,51628.69568
강동구,고덕제1동,25044.35889,24395.28403,24371.48708,24328.88038,24921.3782,24377.89256
강동구,고덕제2동,21271.45935,21372.15794,21383.28777,21364.91551,21139.15547,20634.95981
강동구,길동,55848.16055,55067.07751,54632.83732,55652.21447,56847.49485,56111.50674
강동구,둔촌제1동,4394.924539,4664.324428,4603.654273,4646.240265,4726.456433,4469.818852
강동구,둔촌제2동,28623.37673,28811.14849,26970.58999,26869.71821,27425.60308,27076.94575
강동구,명일제1동,28600.05208,27306.95827,26776.80718,26920.247,27546.28983,26471.13223
강동구,명일제2동,16189.75725,16649.0139,16270.0975,16265.55567,16537.17338,15905.55302
강동구,상일동,39509.38546,35234.71622,33831.77611,37400.57926,40739.93954,39338.01169
강동구,성내제1동,24652.04473,24951.33614,24384.96688,24014.64138,24230.12088,23623.99784
강동구,성내제2동,26123.62054,25868.03458,25089.96792,25049.83604,25189.23985,24564.82154
강동구,성내제3동,27717.65592,27401.02013,26623.80003,26488.33205,26787.5258,26371.51909
강동구,암사제1동,28126.88944,30451.83456,28736.64141,27668.1522,27672.26707,27282.49982
강동구,암사제2동,14101.86649,13682.83721,14292.75364,14663.18635,15271.76576,15145.6966
강동구,암사제3동,13918.8106,13977.15628,13315.7883,13123.05437,13304.8423,13210.49341
강동구,천호제1동,30628.51151,34631.49445,32996.82028,31265.31656,30723.06201,29749.37595
강동구,천호제2동,42375.13502,45908.32317,45412.24521,44881.5528,45742.69186,44371.47388
강동구,천호제3동,27713.09225,27495.15137,27126.25172,28073.48939,28422.46436,27988.85524
강북구,미아동,21309.26001,22195.59944,22631.13856,23045.7569,23219.64952,22842.95038
강북구,삼각산동,23454.2299,23634.4486,21888.94372,21691.59942,21882.47929,21404.42197
강북구,삼양동,24260.39274,24008.82917,23153.21614,23135.81584,23396.95395,22650.15595
강북구,송중동,35538.10736,36148.56067,34528.41592,35126.40482,35639.68603,34668.05876
강북구,송천동,26875.00271,27743.74999,27008.04123,27237.78276,27664.2607,26686.22939
강북구,우이동,18366.2311,18773.79624,18630.99708,19139.67657,19420.98876,19349.88912
강북구,인수동,29319.07964,28771.07528,28000.61971,28371.64991,28704.05261,28270.43533
강서구,가양제1동,48027.28961,49252.93662,49210.08971,50167.71448,50955.85793,50311.11698
강서구,가양제2동,15107.03786,14883.68025,14577.10104,14733.13249,15000.26499,14564.67733
강서구,가양제3동,10871.48513,10871.13273,10629.77769,10701.80964,10698.76303,10333.23144
강서구,공항동,35099.94232,34402.92213,35879.55185,37594.4975,38016.90698,34201.00308
강서구,등촌제1동,23510.67376,23397.78675,22555.90625,22717.54619,22967.06337,22214.17043
